From,To,Length(m),Azimuth(deg),Clino(deg)
106@armistice_north.clearwater_master,105@armistice_north.clearwater_master,9.10,351.00,-3.00
105@armistice_north.clearwater_master,104@armistice_north.clearwater_master,4.10,327.00,4.00
104@armistice_north.clearwater_master,103@armistice_north.clearwater_master,24.00,319.00,-2.00
103@armistice_north.clearwater_master,102@armistice_north.clearwater_master,11.70,21.00,-32.00
102@armistice_north.clearwater_master,101@armistice_north.clearwater_master,24.60,6.00,13.00
101@armistice_north.clearwater_master,100@armistice_north.clearwater_master,27.70,23.00,1.00
100@armistice_north.clearwater_master,99@armistice_north.clearwater_master,30.50,59.00,3.00
99@armistice_north.clearwater_master,98@armistice_north.clearwater_master,19.90,42.00,7.00
98@armistice_north.clearwater_master,97@armistice_north.clearwater_master,9.40,297.00,-16.00
97@armistice_north.clearwater_master,96@armistice_north.clearwater_master,21.30,9.00,1.00
96@armistice_north.clearwater_master,95@armistice_north.clearwater_master,23.00,355.00,-16.00
95@armistice_north.clearwater_master,79@armistice_north.clearwater_master,12.20,18.00,-14.00
79@armistice_north.clearwater_master,78@armistice_north.clearwater_master,6.60,280.00,-15.00
78@armistice_north.clearwater_master,77@armistice_north.clearwater_master,27.30,5.00,-2.00
77@armistice_north.clearwater_master,76@armistice_north.clearwater_master,25.70,4.00,-10.00
76@armistice_north.clearwater_master,75@armistice_north.clearwater_master,30.70,351.00,-10.00
75@armistice_north.clearwater_master,74@armistice_north.clearwater_master,30.60,325.00,-31.00
74@armistice_north.clearwater_master,73@armistice_north.clearwater_master,30.60,352.00,-30.00
73@armistice_north.clearwater_master,72@armistice_north.clearwater_master,30.70,340.00,-30.00
72@armistice_north.clearwater_master,71@armistice_north.clearwater_master,26.90,10.00,-6.00
71@armistice_north.clearwater_master,70@armistice_north.clearwater_master,30.50,345.00,30.00
79@armistice_north.clearwater_master,94@armistice_north.clearwater_master,8.80,125.00,40.00
94@armistice_north.clearwater_master,93@armistice_north.clearwater_master,16.00,82.00,30.00
93@armistice_north.clearwater_master,92@armistice_north.clearwater_master,31.10,84.00,13.00
92@armistice_north.clearwater_master,91@armistice_north.clearwater_master,28.60,18.00,14.00
91@armistice_north.clearwater_master,90@armistice_north.clearwater_master,30.70,18.00,9.00
90@armistice_north.clearwater_master,82@armistice_north.clearwater_master,16.10,5.00,-17.00
82@armistice_north.clearwater_master,81@armistice_north.clearwater_master,24.50,137.00,32.00
81@armistice_north.clearwater_master,80@armistice_north.clearwater_master,23.00,118.00,17.00
82@armistice_north.clearwater_master,89@armistice_north.clearwater_master,3.20,310.00,-40.00
89@armistice_north.clearwater_master,88@armistice_north.clearwater_master,13.10,23.00,-28.00
88@armistice_north.clearwater_master,87@armistice_north.clearwater_master,22.50,356.00,4.00
87@armistice_north.clearwater_master,86@armistice_north.clearwater_master,13.40,61.00,28.00
86@armistice_north.clearwater_master,85@armistice_north.clearwater_master,26.20,25.00,13.00
85@armistice_north.clearwater_master,84@armistice_north.clearwater_master,17.20,326.00,-25.00
84@armistice_north.clearwater_master,83@armistice_north.clearwater_master,30.50,340.00,-2.00
301@armistice_north.clearwater_master,113@armistice_north.clearwater_master,2.60,211.00,-1.00
113@armistice_north.clearwater_master,112@armistice_north.clearwater_master,11.10,240.00,-28.00
112@armistice_north.clearwater_master,111@armistice_north.clearwater_master,16.30,240.00,-19.00
111@armistice_north.clearwater_master,110@armistice_north.clearwater_master,3.80,225.00,-57.00
110@armistice_north.clearwater_master,109@armistice_north.clearwater_master,7.70,200.00,-20.00
303@armistice_north.clearwater_master,108@armistice_north.clearwater_master,15.20,81.00,25.00
108@armistice_north.clearwater_master,107@armistice_north.clearwater_master,15.60,60.00,26.00
303@armistice_north.clearwater_master,137@armistice_north.clearwater_master,4.70,302.00,-9.00
137@armistice_north.clearwater_master,136@armistice_north.clearwater_master,9.70,331.00,-31.00
136@armistice_north.clearwater_master,135@armistice_north.clearwater_master,18.30,310.00,-33.00
135@armistice_north.clearwater_master,134@armistice_north.clearwater_master,22.10,37.00,2.00
134@armistice_north.clearwater_master,133@armistice_north.clearwater_master,29.80,41.00,19.00
133@armistice_north.clearwater_master,132@armistice_north.clearwater_master,17.50,355.00,0.00
132@armistice_north.clearwater_master,131@armistice_north.clearwater_master,4.40,55.00,-38.00
131@armistice_north.clearwater_master,130@armistice_north.clearwater_master,3.90,52.00,-36.00
130@armistice_north.clearwater_master,129@armistice_north.clearwater_master,8.20,101.00,40.00
129@armistice_north.clearwater_master,128@armistice_north.clearwater_master,14.20,23.00,8.00
128@armistice_north.clearwater_master,127@armistice_north.clearwater_master,16.70,20.00,-6.00
127@armistice_north.clearwater_master,126@armistice_north.clearwater_master,10.00,39.00,2.00
126@armistice_north.clearwater_master,125@armistice_north.clearwater_master,15.50,5.00,1.00
125@armistice_north.clearwater_master,124@armistice_north.clearwater_master,28.10,23.00,0.00
124@armistice_north.clearwater_master,123@armistice_north.clearwater_master,4.00,87.00,23.00
123@armistice_north.clearwater_master,122@armistice_north.clearwater_master,5.20,40.00,33.00
122@armistice_north.clearwater_master,121@armistice_north.clearwater_master,3.90,134.00,56.00
121@armistice_north.clearwater_master,120@armistice_north.clearwater_master,7.60,38.00,-2.00
120@armistice_north.clearwater_master,119@armistice_north.clearwater_master,10.70,78.00,10.00
119@armistice_north.clearwater_master,118@armistice_north.clearwater_master,2.30,146.00,49.00
118@armistice_north.clearwater_master,117@armistice_north.clearwater_master,4.10,41.00,10.00
117@armistice_north.clearwater_master,116@armistice_north.clearwater_master,1.60,50.00,70.00
116@armistice_north.clearwater_master,115@armistice_north.clearwater_master,5.50,168.00,30.00
115@armistice_north.clearwater_master,114@armistice_north.clearwater_master,13.10,31.00,3.00
321@armistice_south.clearwater_master,335@armistice_south.clearwater_master,30.00,195.00,17.00
335@armistice_south.clearwater_master,336@armistice_south.clearwater_master,30.00,198.00,15.00
336@armistice_south.clearwater_master,337@armistice_south.clearwater_master,30.00,189.00,-11.00
337@armistice_south.clearwater_master,338@armistice_south.clearwater_master,27.40,298.00,-16.00
338@armistice_south.clearwater_master,339@armistice_south.clearwater_master,30.00,188.00,-24.00
339@armistice_south.clearwater_master,340@armistice_south.clearwater_master,22.60,171.00,16.00
340@armistice_south.clearwater_master,341@armistice_south.clearwater_master,30.00,191.00,-2.00
341@armistice_south.clearwater_master,342@armistice_south.clearwater_master,30.00,186.00,3.00
342@armistice_south.clearwater_master,343@armistice_south.clearwater_master,30.00,188.00,-7.00
343@armistice_south.clearwater_master,344@armistice_south.clearwater_master,30.00,321.00,-22.00
344@armistice_south.clearwater_master,345@armistice_south.clearwater_master,30.00,300.00,10.00
345@armistice_south.clearwater_master,346@armistice_south.clearwater_master,30.00,180.00,-4.00
346@armistice_south.clearwater_master,347@armistice_south.clearwater_master,30.00,182.00,15.00
347@armistice_south.clearwater_master,348@armistice_south.clearwater_master,31.00,171.00,25.00
348@armistice_south.clearwater_master,349@armistice_south.clearwater_master,25.10,59.00,14.00
349@armistice_south.clearwater_master,350@armistice_south.clearwater_master,31.00,80.00,-8.00
350@armistice_south.clearwater_master,351@armistice_south.clearwater_master,30.00,43.00,25.00
351@armistice_south.clearwater_master,352@armistice_south.clearwater_master,30.00,10.00,9.00
352@armistice_south.clearwater_master,353@armistice_south.clearwater_master,30.00,304.00,-44.00
353@armistice_south.clearwater_master,x@armistice_south.clearwater_master,15.90,281.00,-16.00
345@armistice_south.clearwater_master,354@armistice_south.clearwater_master,13.20,13.00,-3.00
354@armistice_south.clearwater_master,355@armistice_south.clearwater_master,25.60,318.00,-17.00
355@armistice_south.clearwater_master,356@armistice_south.clearwater_master,31.00,16.00,17.00
356@armistice_south.clearwater_master,357@armistice_south.clearwater_master,29.20,50.00,-10.00
357@armistice_south.clearwater_master,358@armistice_south.clearwater_master,7.40,126.00,11.00
358@armistice_south.clearwater_master,359b@armistice_south.clearwater_master,11.30,86.00,36.00
359b@armistice_south.clearwater_master,360b@armistice_south.clearwater_master,12.40,38.00,32.00
360b@armistice_south.clearwater_master,y@armistice_south.clearwater_master,17.40,105.00,-15.00
355@armistice_south.clearwater_master,359a@armistice_south.clearwater_master,30.00,235.00,-24.00
359a@armistice_south.clearwater_master,360a@armistice_south.clearwater_master,23.30,288.00,-22.00
348@armistice_south.clearwater_master,361@armistice_south.clearwater_master,30.00,194.00,-13.00
361@armistice_south.clearwater_master,362@armistice_south.clearwater_master,30.00,215.00,-8.00
362@armistice_south.clearwater_master,363@armistice_south.clearwater_master,21.80,268.00,-13.00
363@armistice_south.clearwater_master,364@armistice_south.clearwater_master,30.00,180.00,20.00
364@armistice_south.clearwater_master,365@armistice_south.clearwater_master,13.80,200.00,5.00
365@armistice_south.clearwater_master,366@armistice_south.clearwater_master,27.00,130.00,18.00
366@armistice_south.clearwater_master,367@armistice_south.clearwater_master,25.30,121.00,19.00
367@armistice_south.clearwater_master,368@armistice_south.clearwater_master,22.60,75.00,15.00
368@armistice_south.clearwater_master,369@armistice_south.clearwater_master,30.00,225.00,-18.00
369@armistice_south.clearwater_master,370@armistice_south.clearwater_master,26.80,200.00,11.00
370@armistice_south.clearwater_master,371@armistice_south.clearwater_master,15.60,182.00,-11.00
371@armistice_south.clearwater_master,372@armistice_south.clearwater_master,27.70,198.00,9.00
337@armistice_south.clearwater_master,147@armistice_south.clearwater_master,19.60,124.00,4.00
147@armistice_south.clearwater_master,146@armistice_south.clearwater_master,30.90,70.00,3.00
146@armistice_south.clearwater_master,145@armistice_south.clearwater_master,31.00,82.00,31.00
145@armistice_south.clearwater_master,144@armistice_south.clearwater_master,6.50,349.00,23.00
144@armistice_south.clearwater_master,143@armistice_south.clearwater_master,12.80,20.00,4.00
143@armistice_south.clearwater_master,142@armistice_south.clearwater_master,29.00,96.00,22.00
142@armistice_south.clearwater_master,141@armistice_south.clearwater_master,6.40,132.00,55.00
141@armistice_south.clearwater_master,140@armistice_south.clearwater_master,6.90,83.00,10.00
140@armistice_south.clearwater_master,139@armistice_south.clearwater_master,10.60,72.00,14.00
139@armistice_south.clearwater_master,138@armistice_south.clearwater_master,20.50,72.00,29.00
363@armistice_south.clearwater_master,700@armistice_south.clearwater_master,30.00,331.00,-6.00
700@armistice_south.clearwater_master,701@armistice_south.clearwater_master,18.20,263.00,13.00
701@armistice_south.clearwater_master,702@armistice_south.clearwater_master,30.00,184.00,1.00
702@armistice_south.clearwater_master,703@armistice_south.clearwater_master,26.50,246.00,-4.00
703@armistice_south.clearwater_master,704@armistice_south.clearwater_master,12.30,236.00,-25.00
372@the_big_uee.clearwater_master,373@the_big_uee.clearwater_master,18.80,241.00,-33.00
373@the_big_uee.clearwater_master,374@the_big_uee.clearwater_master,30.00,277.00,-33.00
374@the_big_uee.clearwater_master,375@the_big_uee.clearwater_master,30.00,261.00,-21.00
375@the_big_uee.clearwater_master,376@the_big_uee.clearwater_master,13.50,270.00,-14.00
376@the_big_uee.clearwater_master,377@the_big_uee.clearwater_master,22.00,244.00,-19.00
377@the_big_uee.clearwater_master,378@the_big_uee.clearwater_master,31.00,30.00,-10.00
378@the_big_uee.clearwater_master,379@the_big_uee.clearwater_master,15.00,17.00,10.00
377@the_big_uee.clearwater_master,380@the_big_uee.clearwater_master,17.40,307.00,-39.00
380@the_big_uee.clearwater_master,381@the_big_uee.clearwater_master,22.10,233.00,-36.00
381@the_big_uee.clearwater_master,382@the_big_uee.clearwater_master,30.40,273.00,-36.00
382@the_big_uee.clearwater_master,383@the_big_uee.clearwater_master,30.00,246.00,-37.00
383@the_big_uee.clearwater_master,384@the_big_uee.clearwater_master,30.00,296.00,-17.00
384@the_big_uee.clearwater_master,385@the_big_uee.clearwater_master,30.00,30.00,-10.00
385@the_big_uee.clearwater_master,386@the_big_uee.clearwater_master,30.00,30.00,25.00
386@the_big_uee.clearwater_master,387@the_big_uee.clearwater_master,30.00,70.00,32.00
387@the_big_uee.clearwater_master,388@the_big_uee.clearwater_master,31.00,68.00,31.00
388@the_big_uee.clearwater_master,389@the_big_uee.clearwater_master,23.70,92.00,30.00
389@the_big_uee.clearwater_master,390@the_big_uee.clearwater_master,28.50,22.00,11.00
390@the_big_uee.clearwater_master,391@the_big_uee.clearwater_master,30.00,350.00,-20.00
391@the_big_uee.clearwater_master,392@the_big_uee.clearwater_master,16.00,0.00,-1.00
392@the_big_uee.clearwater_master,393@the_big_uee.clearwater_master,20.10,25.00,-16.00
393@the_big_uee.clearwater_master,394@the_big_uee.clearwater_master,22.60,353.00,-15.00
394@the_big_uee.clearwater_master,395@the_big_uee.clearwater_master,23.80,286.00,-13.00
395@the_big_uee.clearwater_master,396@the_big_uee.clearwater_master,30.00,267.00,-17.00
396@the_big_uee.clearwater_master,397@the_big_uee.clearwater_master,29.60,3.00,0.00
397@the_big_uee.clearwater_master,398@the_big_uee.clearwater_master,30.00,16.00,-10.00
398@the_big_uee.clearwater_master,399@the_big_uee.clearwater_master,30.00,11.00,8.00
399@the_big_uee.clearwater_master,400@the_big_uee.clearwater_master,30.00,45.00,24.00
400@the_big_uee.clearwater_master,401@the_big_uee.clearwater_master,30.00,330.00,24.00
401@the_big_uee.clearwater_master,402@the_big_uee.clearwater_master,22.00,328.00,21.00
402@the_big_uee.clearwater_master,403@the_big_uee.clearwater_master,31.00,67.00,0.00
403@the_big_uee.clearwater_master,404@the_big_uee.clearwater_master,20.30,68.00,38.00
404@the_big_uee.clearwater_master,405@the_big_uee.clearwater_master,30.30,307.00,31.00
405@the_big_uee.clearwater_master,406@the_big_uee.clearwater_master,11.80,271.00,45.00
406@the_big_uee.clearwater_master,407@the_big_uee.clearwater_master,30.00,253.00,31.00
407@the_big_uee.clearwater_master,408@the_big_uee.clearwater_master,11.70,173.00,-5.00
404@the_big_uee.clearwater_master,409@the_big_uee.clearwater_master,6.80,60.00,7.00
409@the_big_uee.clearwater_master,410@the_big_uee.clearwater_master,30.00,97.00,3.00
399@the_big_uee.clearwater_master,411@the_big_uee.clearwater_master,30.00,282.00,30.00
411@the_big_uee.clearwater_master,412@the_big_uee.clearwater_master,19.70,272.00,31.00
412@the_big_uee.clearwater_master,413@the_big_uee.clearwater_master,30.00,295.00,46.00
398@the_big_uee.clearwater_master,414@the_big_uee.clearwater_master,30.00,120.00,28.00
414@the_big_uee.clearwater_master,415@the_big_uee.clearwater_master,23.00,88.00,37.00
415@the_big_uee.clearwater_master,416@the_big_uee.clearwater_master,13.80,59.00,0.00
416@the_big_uee.clearwater_master,417@the_big_uee.clearwater_master,23.80,81.00,2.00
415@the_big_uee.clearwater_master,418@the_big_uee.clearwater_master,15.70,122.00,-23.00
418@the_big_uee.clearwater_master,419@the_big_uee.clearwater_master,22.90,190.00,-2.00
419@the_big_uee.clearwater_master,z@the_big_uee.clearwater_master,25.00,202.00,-2.00
393@the_big_uee.clearwater_master,420@the_big_uee.clearwater_master,30.00,75.00,30.00
420@the_big_uee.clearwater_master,421@the_big_uee.clearwater_master,18.00,51.00,24.00
390@the_big_uee.clearwater_master,422@the_big_uee.clearwater_master,24.00,126.00,28.00
422@the_big_uee.clearwater_master,423@the_big_uee.clearwater_master,10.40,12.00,31.00
423@the_big_uee.clearwater_master,424@the_big_uee.clearwater_master,30.50,71.00,25.00
424@the_big_uee.clearwater_master,425@the_big_uee.clearwater_master,18.40,66.00,31.00
422@the_big_uee.clearwater_master,426@the_big_uee.clearwater_master,25.00,192.00,7.00
389@the_big_uee.clearwater_master,427@the_big_uee.clearwater_master,29.00,280.00,-19.00
427@the_big_uee.clearwater_master,428@the_big_uee.clearwater_master,31.00,262.00,-35.00
428@the_big_uee.clearwater_master,429@the_big_uee.clearwater_master,30.00,353.00,-33.00
429@the_big_uee.clearwater_master,430@the_big_uee.clearwater_master,27.00,21.00,2.00
430@the_big_uee.clearwater_master,431@the_big_uee.clearwater_master,18.50,0.00,-19.00
431@the_big_uee.clearwater_master,432@the_big_uee.clearwater_master,19.80,347.00,5.00
432@the_big_uee.clearwater_master,433@the_big_uee.clearwater_master,23.30,15.00,33.00
433@the_big_uee.clearwater_master,434@the_big_uee.clearwater_master,31.00,85.00,18.00
434@the_big_uee.clearwater_master,435@the_big_uee.clearwater_master,20.90,97.00,18.00
435@the_big_uee.clearwater_master,xx@the_big_uee.clearwater_master,9.70,115.00,11.00
383@the_big_uee.clearwater_master,436@the_big_uee.clearwater_master,15.10,166.00,-8.00
436@the_big_uee.clearwater_master,437@the_big_uee.clearwater_master,24.40,214.00,-21.00
437@the_big_uee.clearwater_master,438@the_big_uee.clearwater_master,30.00,233.00,-7.00
438@the_big_uee.clearwater_master,439@the_big_uee.clearwater_master,31.00,213.00,-9.00
439@the_big_uee.clearwater_master,440@the_big_uee.clearwater_master,20.00,204.00,18.00
440@the_big_uee.clearwater_master,441@the_big_uee.clearwater_master,18.20,198.00,16.00
441@the_big_uee.clearwater_master,442@the_big_uee.clearwater_master,22.30,236.00,-20.00
441@the_big_uee.clearwater_master,443@the_big_uee.clearwater_master,31.00,213.00,8.00
443@the_big_uee.clearwater_master,444@the_big_uee.clearwater_master,21.20,230.00,2.00
444@the_big_uee.clearwater_master,445@the_big_uee.clearwater_master,7.90,195.00,27.00
445@the_big_uee.clearwater_master,446@the_big_uee.clearwater_master,16.90,227.00,-3.00
441@the_big_uee.clearwater_master,447@the_big_uee.clearwater_master,26.00,106.00,20.00
447@the_big_uee.clearwater_master,448@the_big_uee.clearwater_master,9.20,110.00,-5.00
448@the_big_uee.clearwater_master,449@the_big_uee.clearwater_master,23.80,356.00,15.00
449@the_big_uee.clearwater_master,450@the_big_uee.clearwater_master,18.30,275.00,-28.00
450@the_big_uee.clearwater_master,yy@the_big_uee.clearwater_master,12.80,287.00,-39.00
01@rampage.clearwater_master,02@rampage.clearwater_master,30.00,251.00,-28.00
02@rampage.clearwater_master,03@rampage.clearwater_master,6.50,256.00,-23.00
03@rampage.clearwater_master,04@rampage.clearwater_master,16.80,244.00,-40.00
04@rampage.clearwater_master,05@rampage.clearwater_master,6.70,230.00,-26.00
05@rampage.clearwater_master,06@rampage.clearwater_master,16.20,265.00,-32.00
06@rampage.clearwater_master,07@rampage.clearwater_master,27.70,244.00,-26.00
07@rampage.clearwater_master,08@rampage.clearwater_master,19.90,259.00,-18.00
08@rampage.clearwater_master,09@rampage.clearwater_master,21.80,217.00,-17.00
09@rampage.clearwater_master,10@rampage.clearwater_master,30.00,265.00,-36.00
10@rampage.clearwater_master,11@rampage.clearwater_master,24.30,299.00,-34.00
10@rampage.clearwater_master,12@rampage.clearwater_master,30.00,20.00,2.00
12@rampage.clearwater_master,13@rampage.clearwater_master,30.00,16.00,-3.00
13@rampage.clearwater_master,14@rampage.clearwater_master,30.00,26.00,10.00
14@rampage.clearwater_master,15@rampage.clearwater_master,30.00,0.00,-3.00
10@rampage.clearwater_master,16@rampage.clearwater_master,30.00,179.00,9.00
16@rampage.clearwater_master,17@rampage.clearwater_master,19.80,204.00,6.00
17@rampage.clearwater_master,18@rampage.clearwater_master,26.90,232.00,-23.00
18@rampage.clearwater_master,19@rampage.clearwater_master,30.00,186.00,6.00
19@rampage.clearwater_master,20@rampage.clearwater_master,30.00,200.00,5.00
20@rampage.clearwater_master,21@rampage.clearwater_master,30.00,294.00,-23.00
21@rampage.clearwater_master,22@rampage.clearwater_master,10.00,245.00,-17.00
22@rampage.clearwater_master,23@rampage.clearwater_master,9.30,195.00,-14.00
20@rampage.clearwater_master,24@rampage.clearwater_master,21.70,225.00,21.00
23@rampage.clearwater_master,cw4@rampage.clearwater_master,110.60,197.62,0.00
19@alexandra_palace.clearwater_master,164@alexandra_palace.clearwater_master,16.60,105.00,-12.00
164@alexandra_palace.clearwater_master,163@alexandra_palace.clearwater_master,7.90,100.00,-51.00
163@alexandra_palace.clearwater_master,162@alexandra_palace.clearwater_master,7.20,135.00,-36.00
